id_pedido,timestamp,id_produto,nome_produto,categoria,preco,quantidade
P2572,2024-05-21 07:41:03,PROD01,Smartphone X,Smartphones,3500.0,1
P2573,2024-05-21 08:05:44,PROD03,Notebook Pro,Notebooks,7500.0,1
P2574,2024-05-21 08:07:25,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P2575,2024-05-21 08:22:08,PROD03,Notebook Pro,Notebooks,7500.0,1
P2576,2024-05-21 08:23:38,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P2577,2024-05-21 08:28:34,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P2578,2024-05-21 08:31:00,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P2579,2024-05-21 08:49:28,PROD02,Fone Bluetooth Y,Acessórios,250.0,2
P2580,2024-05-21 09:23:10,PROD08,Cadeira Gamer,Móveis,1200.0,3
P2581,2024-05-21 09:27:13,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P2582,2024-05-21 09:38:03,PROD08,Cadeira Gamer,Móveis,1200.0,1
P2583,2024-05-21 09:40:18,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P2583,2024-05-21 09:59:49,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P2584,2024-05-21 10:07:54,PROD03,Notebook Pro,Notebooks,7500.0,1
P2585,2024-05-21 10:08:14,PROD03,Notebook Pro,Notebooks,7500.0,1
P2586,2024-05-21 10:23:34,PROD05,Jogo Aventura,Games,199.9,1
P2587,2024-05-21 10:42:49,PROD10,SSD 1TB,Componentes,600.0,2
P2588,2024-05-21 10:50:50,PROD09,Webcam Full HD,Acessórios,300.0,1
P2589,2024-05-21 10:51:01,PROD03,Notebook Pro,Notebooks,7500.0,2
P2590,2024-05-21 11:00:13,PROD09,Webcam Full HD,Acessórios,300.0,2
P2591,2024-05-21 11:04:46,PROD10,SSD 1TB,Componentes,600.0,1
P2592,2024-05-21 11:07:00,PROD04,Teclado Gamer Z,Acessórios,450.0,2
P2593,2024-05-21 11:09:44,PROD10,SSD 1TB,Componentes,600.0,1
P2594,2024-05-21 11:15:01,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P2595,2024-05-21 11:44:36,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P2596,2024-05-21 12:03:39,PROD05,Jogo Aventura,Games,199.9,3
P2597,2024-05-21 12:09:07,PROD08,Cadeira Gamer,Móveis,1200.0,1
P2597,2024-05-21 12:16:51,PROD08,Cadeira Gamer,Móveis,1200.0,1
P2598,2024-05-21 12:20:26,PROD05,Jogo Aventura,Games,199.9,2
P2599,2024-05-21 12:21:21,PROD08,Cadeira Gamer,Móveis,1200.0,1
P2600,2024-05-21 12:39:12,PROD05,Jogo Aventura,Games,199.9,3
P2601,2024-05-21 12:43:37,PROD03,Notebook Pro,Notebooks,7500.0,1
P2602,2024-05-21 12:43:38,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P2603,2024-05-21 12:48:39,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P2604,2024-05-21 13:02:52,PROD05,Jogo Aventura,Games,199.9,1
P2605,2024-05-21 13:06:46,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P2606,2024-05-21 13:07:58,PROD05,Jogo Aventura,Games,199.9,1
P2607,2024-05-21 13:28:39,PROD01,Smartphone X,Smartphones,3500.0,1
P2608,2024-05-21 13:34:00,PROD06,Mouse Gamer W,Acessórios,150.0,1
P2608,2024-05-21 13:37:41,PROD08,Cadeira Gamer,Móveis,1200.0,2
P2609,2024-05-21 13:38:43,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P2609,2024-05-21 13:39:20,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P2610,2024-05-21 13:48:29,PROD05,Jogo Aventura,Games,199.9,1
P2611,2024-05-21 14:00:27,PROD05,Jogo Aventura,Games,199.9,3
P2612,2024-05-21 14:28:04,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P2613,2024-05-21 14:33:34,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P2614,2024-05-21 14:43:07,PROD03,Notebook Pro,Notebooks,7500.0,1
P2615,2024-05-21 14:59:06,PROD06,Mouse Gamer W,Acessórios,150.0,1
P2616,2024-05-21 15:20:44,PROD08,Cadeira Gamer,Móveis,1200.0,1
P2617,2024-05-21 15:20:58,PROD06,Mouse Gamer W,Acessórios,150.0,1
P2618,2024-05-21 15:55:02,PROD10,SSD 1TB,Componentes,600.0,1
P2619,2024-05-21 16:11:15,PROD02,Fone Bluetooth Y,Acessórios,250.0,2
P2619,2024-05-21 16:26:27,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P2619,2024-05-21 16:37:09,PROD03,Notebook Pro,Notebooks,7500.0,1
P2619,2024-05-21 16:46:12,PROD01,Smartphone X,Smartphones,3500.0,2
P2620,2024-05-21 16:58:43,PROD08,Cadeira Gamer,Móveis,1200.0,1
P2620,2024-05-21 17:02:27,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P2621,2024-05-21 17:04:29,PROD05,Jogo Aventura,Games,199.9,1
P2622,2024-05-21 17:14:22,PROD03,Notebook Pro,Notebooks,7500.0,2
P2623,2024-05-21 17:26:15,PROD05,Jogo Aventura,Games,199.9,1
P2624,2024-05-21 17:31:56,PROD10,SSD 1TB,Componentes,600.0,1
P2625,2024-05-21 17:39:44,PROD05,Jogo Aventura,Games,199.9,1
